,description,points,price,variety,country,tag,variable
104,"Aromas of game, cured meat, mature violet and a whiff of barnyard lead the nose. It's extremely simple and diluted, with fleeting tannins and brisk acidity. Tried two bottles, same notes.",82,37.0,Nebbiolo,Italy,worst reviews,variety
105,"Hard to like, with very high, mouth-puckering acidity framing thinned-down cherry flavors. On the plus side, the wine is totally dry, with a silky texture.",82,18.0,Nebbiolo,US,worst reviews,variety
106,A smoky character lies over the firmly structured fruit and black-plum-skin texture of this extracted wine.,82,,Portuguese Red,Portugal,worst reviews,variety
107,"Earthy aromas lead to a wine that has some greenness, with dry tannins and bell pepper flavors. It is not likely to age.",82,7.0,Portuguese Red,Portugal,worst reviews,variety
108,"Rustic wine, its fruit angular and its tannins cutting into the wine awkwardly. Final acidity gives more sharpness.",81,9.0,Portuguese Red,Portugal,worst reviews,variety
109,Review text not available at this time.,81,11.0,Riesling,US,worst reviews,variety
110,"Vegetal, green flavors appear on a wine that doesn't balance the fruit and structure. Considering its age, it needs to be drunk now.",81,16.0,Portuguese Red,Portugal,worst reviews,variety
111,"The familiar rosé Lancers is all about crushed strawberries with a touch of sugar. There is a light structure, but the attractive light pink color and the fresh fruit all work together. Screwcap.",81,8.0,Portuguese Red,Portugal,worst reviews,variety
112,"Creamy on the nose with a scent of musk and flowers, this wine from Brotherhood is too angular to fully enjoy. The acidity is good but the overall flavors are lean.",81,11.0,Riesling,US,worst reviews,variety
113,"This wine's red fruit flavors have sharp, vinegary tones, giving it a hint of Balsamic. It's all right for drinking now.",81,29.0,Rhône-style Red Blend,US,worst reviews,variety
114,Lime and slate notes make for a very nice opening but lead to a distractingly high level of spritz. The crisp palate is lacking in flavor and finishes on the watery side. Drink up.,81,15.0,Riesling,US,worst reviews,variety
115,"There's a vegetal underripeness to this Grenache-based blend. The asparagus flavor is matched to the sweet cherry and pickle relish notes, accented by sour acidity.",81,37.0,Rhône-style Red Blend,US,worst reviews,variety
116,"This is a big burly wine that just has too many off aromas. Heavy barnyard scents mix with tart berry and espresso elements, and although there's body here, and what seem to be basically good elements, the stable-like odors stop the show.",81,12.0,Sangiovese,Italy,worst reviews,variety
117,"The modest cherry, dark berry and black tea notes of this light wine show tell-tale orange-peel notes of decline. This feels just too thin and tired at an early age.",81,15.0,Sangiovese,Italy,worst reviews,variety
118,"A flat tasting, slightly sweet, generic white wine.",81,16.0,Pinot Gris,US,worst reviews,variety
119,"Tar, tobacco and smoke can't mask the green tomato leaf characteristics on this ruby red Sangiovese. There are some interesting spice notes, but not a lot of ripeness or concentration in the fruit.",81,29.0,Sangiovese,US,worst reviews,variety
120,"All dry tannin and bramble aromas, this wine is a tough proposition. François Maurin and son Raphael handle the organic vineyards and wine fermented in stainless steel.",81,13.0,Bordeaux-style Red Blend,France,worst reviews,variety
121,"Brambles and undergrowth aromas give this wine a curious character reflected in the wild strawberry flavors that are not linked to the tannins. This seven-acre Thienpont family property is run by Jan, who has several wine projects, and Florian, who came to wine as a chef.",81,,Bordeaux-style Red Blend,France,worst reviews,variety
122,Blurred edges characterize the non-distinct apple fruit. The palate has edges of bitterness that the residual sugar cannot masks.,80,25.0,Pinot Gris,France,worst reviews,variety
123,"This has fierce acidity, and is sweet in cherry jam flavors, with some unripe, green notes.",80,24.0,Sangiovese,US,worst reviews,variety
124,"There's something not right about the way this winery is fermenting its Cavas because both this and Oriol Rossell's regular brut are excessively foamy. As a result, this gran reserva's apple and spice aromas and flavors are rendered moot by the gaseous explosion that occurs when liquid hits palate.",80,27.0,Sparkling Blend,Spain,worst reviews,variety
125,"Maybe southern Oregon is too hot for white wines; at least it appears to be based on this flat, rather lifeless offering. The nose is like applesauce, while the palate is bland and lazy, with only a modicum of grapefruit working in its favor. A little banana and citrus pith on the finish save it from a worse fate.",80,18.0,Pinot Gris,US,worst reviews,variety
126,The “Reserve” on the label is hardly appropriate in this banal version of what is normally a racy varietal. This version shows a mild fruit in a somewhat stewed version.,80,7.0,Riesling,US,worst reviews,variety
127,"There's a strong scent of petroleum and burnt rubber in this wine, making it challenging to enjoy.",80,29.0,Tempranillo,US,worst reviews,variety
128,"Containing all red Bordeaux varieties except Malbec, this wine has a sweet vanilla-caramel character that devolves into baked prunes.",80,40.0,Bordeaux-style Red Blend,US,worst reviews,variety
129,"A red Rhône blend that's too soft, hot and sweet. It has the taste of sugary raspberry jam and is not a dry table wine.",80,38.0,Rhône-style Red Blend,US,worst reviews,variety
130,"Fruits, flowers and spice should lead the nose and bathe the palate with this Nebbiolo, but the wine falls flat, with bitter, sweet flavors that are astringent in nature and lack elegance.",80,15.0,Nebbiolo,US,worst reviews,variety
131,"The nose is grassy and minty up front. Syrupy in feel, the palate bears a heavy green note and a tinge of raisin.",80,15.0,Syrah,Argentina,worst reviews,variety
132,"Thin brambly aromas and wet rubber don't bode well for the mouth, which is thin, tart and dominated by pie cherries and apple skins. A long, starching finish sends it on its way without much charm.",80,11.0,Sangiovese,Italy,worst reviews,variety
133,"This Rhône-style blend is harsh and rugged, with unripe mintiness, but it has enough cherry, berry and mocha flavors to pass.",80,20.0,Rhône-style Red Blend,US,worst reviews,variety
134,"An aggressive wine with very little charm or character to back up its edgy verve. The nose is skunky while the palate tastes of pickled red cabbage and sharp berry flavors. A weak product reflective of a cool, nongiving vintage.",80,10.0,Tempranillo,Spain,worst reviews,variety
135,"All of the new Epica wines from San Pedro seem highly manufactured and sweet. This blend is stalky and murky smelling, then heavy and cloying in the mouth, with sugar-meets-herbal flavors that finish hot and syrupy.",80,11.0,Red Blend,Chile,worst reviews,variety
136,There's no oak in this Sauvignon Blanc. It's bone dry and shows crisp acidity. The citrus and gooseberry flavors are green with whiffs of ammonia.,80,22.0,Sauvignon Blanc,US,worst reviews,variety
137,"Heavy hayfield aromas are oxidized, and the flavors of almond peel, citrus pith and baked banana do nothing to impress. Not a fresh or healthy wine, if it ever was. Past its prime.",80,12.0,Sauvignon Blanc,Argentina,worst reviews,variety
138,"Soft and syrupy, with semisweet flavors of berries and anise.",80,10.0,Red Blend,US,worst reviews,variety
139,"Lean and rather dry, this has old wood and lean fruit flavors.",80,25.0,Bordeaux-style Red Blend,France,worst reviews,variety
140,"This tastes soft, sweet and simple. The blend is Pinot Gris, Chardonnay, Columbard and Gewurztraminer.",80,10.0,White Blend,US,worst reviews,variety
141,This very ripe wine tastes of supermature grapes; it' s soft and formless.,80,20.0,Bordeaux-style Red Blend,France,worst reviews,variety
142,"Raisin and funky leather are the prime aromas on this marginal Tempranillo. Expect a dried-out, tart and herbal wine, with a raisiny sweetness.",80,8.0,Tempranillo,Spain,worst reviews,variety
143,"Mulchy and gaseous on the nose, this subsequently turns scouring and acidic on the palate, with a leafy, dry red-plum flavor. Herbal, dry and not very fruity overall.",80,10.0,Tempranillo,Spain,worst reviews,variety
144,"Blended from Syrah, Mourvèdre and the two Cabernets, Sauvignon and Franc, this wine feels bitter and acidic in the mouth. It's very tannic and overripe, with flavors of prunes.",80,45.0,Red Blend,US,worst reviews,variety
145,"Harsh and gaseous on the nose, with rustic aromas and no sense of polish. Tastes like burnt sugar and melted candy, with a soupy finish.",80,13.0,Syrah,Chile,worst reviews,variety
146,"This is two consecutive vintages of sketchy to poor rosé from this label. This one smells a bit like a swimming pool, while the flavors are of tart nectarine and pickle. Doesn't much cut it.",80,15.0,Rosé,Spain,worst reviews,variety
147,"Good price, but the wine is green and unripe, with that unpleasant meow odor that turns many people off.",80,11.0,Sauvignon Blanc,US,worst reviews,variety
148,"Curiously dusty wine, tasting of under-ripe cranberry with a coating of sweetness. While it is identifiably Sauvignon Blanc, it does seem to have missed out on the region's signature minerality. Screwcap.",80,23.0,Sauvignon Blanc,France,worst reviews,variety
149,"Maderized and stalky smelling, with a scratchy palate and grassy, pickled flavors that lean toward strawberry and raspberry.",80,10.0,Rosé,Spain,worst reviews,variety
150,"Best on the nose, where apple and lemony aromas are true. In the mouth, it's foamy and crude, with crushing citrus and cidery flavors. Rough, bubbly and massive; tough stuff to swallow.",80,15.0,Sparkling Blend,Peru,worst reviews,variety
151,Too high in alcohol and too overtly sweet in sugar. Tastes like an inexpensive Port.,80,24.0,Zinfandel,US,worst reviews,variety
152,"Barely drinkable, although you'll get by at big parties where nobody cares. It's silky, sweet and minty.",80,7.0,Pinot Noir,US,worst reviews,variety
153,"Smells strange, as if juniper berries were blended with tomato and weedy red fruits. Scratchy and herbal in the mouth, with game and other oddball flavors. Finishes gummy and confected, with a final blast of green herbs and weeds.",80,16.0,Syrah,Chile,worst reviews,variety
154,"This is Langetwins's first vintage of Malbec from estate vineyards and it leaves a bit to be desired. Flat and a tad watery, it's a one-dimensional quaff.",80,15.0,Malbec,US,worst reviews,variety
155,"Short and slightly sweet, there's nutty overtones, a creamy texture and good acidity but a buttery note overwhelms the fruit. Drink up.",80,13.0,White Blend,US,worst reviews,variety
156,"Banana, clove and orange peel open for this sweet, slightly dilute white. Short finish of spring flowers.",80,12.0,White Blend,US,worst reviews,variety
157,"This Chardonnay-Viognier blend is slightly sweet, with vegetable-infused pineapple flavors.",80,25.0,White Blend,US,worst reviews,variety
158,"Severely compromised by green, minty, weedy aromas and flavors. If it weren't for the color and reasonably solid mouthfeel, this would be sunk. As is, it's not a ripe, balanced wine.",80,13.0,Malbec,Argentina,worst reviews,variety
159,"Rather dilute, it shows slight black-cherry and blackberry aromas and flavors. The overall impression is really little more than alcohol and faint body. Finishes very dry, with innocuous tannins.",80,10.0,Merlot,Chile,worst reviews,variety
160,"This wine has a burnt rubber, mouth-puckering and slightly chemical undertone in aroma and taste.",80,20.0,Pinot Noir,US,worst reviews,variety
161,"Not a good year for this wine, which is green and fuzzy on the tongue, a strange waft of chemical overpowering over all.",80,12.0,Merlot,US,worst reviews,variety
162,This vivid pink-colored wine tastes of candy with added acidity. There is some sweetness along with the artificial flavors.,80,11.0,Rosé,France,worst reviews,variety
163,"Way too high in alcohol, giving it the ripe, hot, raisiny taste of a simple Port.",80,44.0,Zinfandel,US,worst reviews,variety
164,"Even at this price, this Cab is hard to like. It's soft and somewhat vegetal, with bizarre sweet oak and cherry jam flavors.",80,10.0,Cabernet Sauvignon,US,worst reviews,variety
165,"This Merlot has not fully ripened, with aromas of bell pepper, green herbs and savory notes overriding any sense of variety. Flavors are faint and lighter in style, trailing on the finish.",80,20.0,Merlot,US,worst reviews,variety
166,"This wine is flawed, with rustic leathery undertones that veer into Band-Aid, and an intensely sour note. Multiple bottles tried over several months.",80,30.0,Pinot Noir,US,worst reviews,variety
167,"Rusty in color, with rubbery cherry and raspberry aromas, this is a sticky, candied rosé with a low freshness quotient. Candied, sugary flavors finish sweet and gooey.",80,8.0,Rosé,Spain,worst reviews,variety
168,"Nearly undrinkable for its arch-acidity that's almost still fermenting. The flavors are thin, with barely ripe blackberries and oak-like smokiness.",80,13.0,Cabernet Sauvignon,US,worst reviews,variety
169,"Of all the Cavas made by Freixenet, this oddly sweet Spumante is the weakest. This is briny, pickled and candied on the nose, with hints of lychee and banana. Flavors of Sprite, cane sugar and banana finish with sulfur, honeydew and a faux kiwi note.",80,9.0,Sparkling Blend,Spain,worst reviews,variety
170,"Feels harsh and bitter in the mouth, with simple, sweet flavors of raisins, white sugar and alcohol.",80,25.0,Syrah,US,worst reviews,variety
171,"If you are allergic to sulfites or insist on certified organic wines, this one fits the bill. Unfortunately it's heavy on the grape-juice characteristic, with sharp acids running the show. Dense and chewy, and there's an odd grapefruit note at the end.",80,14.0,Pinot Noir,US,worst reviews,variety
172,"This wine is a medium cherry-red color, with some bricking. The volatiles are quite high and lead to off-dry cherry flavors.",80,18.0,Rosé,US,worst reviews,variety
173,"Orange rind and Chinese spices make for an intriguing opener but the palate falls flat, with little to offer but a few simple lemon and lime flavors. Short finish.",80,16.0,Riesling,US,worst reviews,variety
174,This wine falls short of its rather lofty ambitions with lavish new French oak treatment resulting in a diminished fruit profile. Sawdust notes dominate the nose while the faintest hint of cherry can be detected on the palate. Finishes a bit tart. A good choice for those hankering for a vanilla milkshake.,80,28.0,Pinot Noir,US,worst reviews,variety
175,"Smells vegetal and unripe, with broccoli aromas that turn medicinal sweet in the mouth.",80,13.0,Merlot,US,worst reviews,variety
176,"Not very fruity, with gritty cherry flavors and a hard, edgy, almost sour profile. Does nothing for the reputation of Merlot in Argentina. Overpriced, too.",80,16.0,Merlot,Argentina,worst reviews,variety
177,"Odd notes of Pez candy and confectioner's sugar open this new entry from Southeast Australia. With a watery palate and an almost nonexistent finish, the wine does not make as much of an impression as the catchy name.",80,12.0,Chardonnay,Australia,worst reviews,variety
178,"Heavy as dead weight, with a raisiny nose. Only dried out, semisalty plum flavors work the palate.",80,14.0,Malbec,Chile,worst reviews,variety
179,"The official alcohol is under 14%, but the wine smells and tastes like Port. It has a burnt, caramelized taste of baked fruit, and is tannicly astringent.",80,29.0,Cabernet Sauvignon,US,worst reviews,variety
180,"Vegetal and dry, this Rhône-style blend of Syrah and Mourvèdre doesn't have much going for it.",80,16.0,Rhône-style Red Blend,US,worst reviews,variety
181,"There's a pickled scent, but no fruit on the nose. This is pinched on the palate, with underripe, nutty, oily flavors of spent white fruits and bitterness.",80,13.0,Sauvignon Blanc,Chile,worst reviews,variety
182,"This Zinfandel is alcoholic, and it's dominated by overripe prune and raisin flavors.",80,28.0,Zinfandel,US,worst reviews,variety
183,"This has overripe tropical-fruit aromas on the nose. Wheaty, oxidized flavors finish with a note of mushy fruit.",80,7.0,Chardonnay,Chile,worst reviews,variety
184,"This wine has artificial, plastic-like aromas that mar its opening and make it barely acceptable to drink.",80,19.0,Cabernet Sauvignon,US,worst reviews,variety
185,"Scattered, dusty, yeasty aromas of mustard and apple are less than welcoming. This feels choppy and strained, with vanilla and white-fruit flavors.",80,13.0,Sparkling Blend,Spain,worst reviews,variety
186,"Pinched austere aromas of cat pee and oily sweat are extreme and unusual for a Rías Baixas wine. A citric and raw palate tastes like this smells. Fresh acidity is about all this underripe, sour and bitter blend of Albariño, Treixadura and Loureira has going for it.",80,19.0,White Blend,Spain,worst reviews,variety
187,"This Cava is so heavily oaked that it smells savory and saucy, with almost no fruit to speak of. Woody flavors are barrel-dominated, and so is the monotonous finish.",80,17.0,Sparkling Blend,Spain,worst reviews,variety
188,"This wine is volatile and grassy on the nose, and extremely horsey. Odd flavors of mango and pineapple are way out of place, and the finish tastes of bad tobacco.",80,14.0,Malbec,Chile,worst reviews,variety
189,"The aroma is stalky and leathery on the nose. The palate is grabby, with sulfuric, bitter flavors of uncomplicated berry fruits. This is 65% Bobal and 35% Tempranillo.",80,9.0,Red Blend,Spain,worst reviews,variety
190,Smells like fruit juice. Overall it's raisiny and pruney. Drinkable but barely. Doesn't bring clarity or proper balance.,80,16.0,Tempranillo,Spain,worst reviews,variety
191,"There's nothing special about this Syrah. It's not only soft and semisweet, it's thin in fruit, with watered down blackberry jelly flavors.",80,30.0,Syrah,US,worst reviews,variety
192,"This suffers from major problems. It has all the faults of a hot Zinfandel: semisweet baked-fruit flavors, a lack of acidity, and a resulting medicinal quality.",80,69.0,Zinfandel,US,worst reviews,variety
193,"A blend of Petite Sirah and Petit Verdot, this is a clumsy wine. It's soft and overripe, and the oaky overlay doesn't do anything to improve the situation.",80,22.0,Red Blend,US,worst reviews,variety
194,"Way too much banana, mango and sugar. Not a prime-time player.",80,10.0,Chardonnay,Argentina,worst reviews,variety
195,"Tastes sweet and alcoholic, with vegetal flavors that barely break into berries and cocoa.",80,13.0,Zinfandel,US,worst reviews,variety
196,"Light, transparent and candied with underdeveloped, boring flavors and a mild chemical harshness. Barely worth a look. 40,000 cases produced.",80,8.0,Malbec,Argentina,worst reviews,variety
197,"This yeasty funky Chardonnay is on its last legs. The mouthfeel is mealy and the flavors are dull, yeasty, generic and lightly oxidized on the finish.",80,9.0,Chardonnay,Spain,worst reviews,variety
198,This smells confected—neither natural nor convincing. Vanilla and milk chocolate aromas recall a cheap ice cream sundae. This feels scattered and hollow. Plum and chocolate flavors taste artificial and forced.,80,9.0,Cabernet Sauvignon,Argentina,worst reviews,variety
199,"Vanilla, butterscotch and some harsher oak-derived compounds dominate the modest citrus fruit that might have been wine before it was turned into oak juice. For wood lovers only.",80,18.0,Chardonnay,US,worst reviews,variety
200,"This is the finest Cheval Blanc for many years. It is, quite simply, magnificent. The wine shows the greatness of Cabernet Franc in the vintage, with 57% of the variety in the blend. It is beautifully structured and perfumed, with velvety tannins, balanced acidity and swathes of black-currant and black-cherry fruits. It's well on course to becoming a legendary wine.",100,1500.0,Bordeaux-style Red Blend,France,best reviews,country
201,This is the latest release of what has long been regarded as Portugal's iconic wine. And it is magnificent. The last vintage was the 2004 and the wait has now shown to be worthwhile. With its immense span and breadth of flavors and rich structure it is a superb manifestation of the great vineyards of the Douro Superior. Big bold fruits and acidity are matched by the tannins and concentration. Hold this for many years or at least wait until 2022.,100,450.0,Portuguese Red,Portugal,best reviews,country
202,"This is a magnificently solid wine, initially even a bit severe. At this young stage, the tannins dominate, but it's also full of black fruit notes. Very dense and concentrated, this is a wine that's even better than the legendary 2005. The structure tells of its extraordinary aging potential: don't even attempt to drink this for 10 years.",100,150.0,Bordeaux-style Red Blend,France,best reviews,country
203,"This gorgeous, fragrant wine opens with classic Sangiovese scents of violet, rose, perfumed red berry, new leather and a whiff of baking spice. The elegant, radiant palate delivers crushed Marasca cherry, ripe strawberry, cinnamon, black tea and a hint of pipe tobacco. Firm, ultrafine tannins and bright acidity offer an age-worthy structure and impeccable balance. It's already stunning but will evolve for decades. Drink 2020–2050.",100,550.0,Sangiovese,Italy,best reviews,country
204,"Almost black in color, this stunning wine is gorgeous, rich and dense. It's grand and powerful, with a strong sense of its own importance. The beautiful tannins and the fragrant black currant fruits are palpable. It's a great wine, with huge potential.",100,1500.0,Bordeaux-style Red Blend,France,best reviews,country
205,"In 2005 Charles Smith introduced three high-end Syrahs. In 2006 Smith has made a wine better than each of these, by combining them into a single wine—Royal City Syrah. Rich scents of purple fruit, smoked meat, cedar, lead pencil, moist earth and so on proclaim a wine with genuine gravitas. There is nothing missing, from the first sniff to the last sip, the wine delivers on all levels. Complex, beautifully balanced, powerful and detailed.",100,80.0,Syrah,US,best reviews,country
206,"This wine dazzles with perfection. Sourced from vineyards throughout Sonoma County, it refutes the belief that a great Cabernet must come from a single vineyard. It does not. The master's art of blending, coupled with demanding vineyard practices lends completeness. The blend is 85% Merlot, 10% Cabernet Franc and 5% Malbec, making it an extraordinary success despite the absence of Cabernet Sauvignon. Give credit to winemaker Pierre Seillan. The wine itself is absolutely dry. It starts with a tug of tannins, baring flavors of blackberries, black currants, minerals and new oak, with earthy, herbal and meaty complexities. This is a magnificent wine; it dazzles now and should evolve over the next 6–8 years.",100,450.0,Bordeaux-style Red Blend,US,best reviews,country
207,"This new release from a great vintage for Chardonnay in Champagne is a perfect blanc de blancs, showing a wealth of intensity from the crisp, chalky, mineral tones to the perfumed apple notes. The aromas hint at developing toastiness that adds depth and complexity. The wine is still young and it will age for years. Drink from 2020.",100,617.0,Chardonnay,France,best reviews,country
208,"Tasted in a flight of great and famous Napa wines, this Cardinale stood at the head of the pack. Starts with a very fine nose of cedar, cassis, ripe blackberries and violets, then turns dramatic and refined in the mouth. Shows vast depth and length, with the finish a full minute of sweet fruits and spices. Marvelous tannins, so plush and elegant, so powerful yet refined. The grapes hail from Mt. Veeder, Howell Mountain, Stags Leap and Oakville, and the blend contains 14% Merlot. As good as it is now, it will improve for at least eight years.",100,200.0,Cabernet Sauvignon,US,best reviews,country
209,"Initially a rather subdued Frog; as if it has been tamed down. Then, suddenly, There's a plush core of blackberry fruit, and the classic Cayuse funkiness is there, drenched in liquid rocks and cured meat and drying tannins. It's all in proportion and a fine reflection of the steely vintage. As it opens gracefully you discover that it is a stunningly refined Frog, quite possibly the best ever; powerful and distinctive, but also elegant, feminine.",100,80.0,Syrah,US,best reviews,country
210,"A hugely powerful wine, full of dark, brooding tannins. It's a wine for seriously long-term aging, a sculptural vision of classic Bordeaux structure with with classy, ripe blackberry fruits. It has fresh acidity and an immense full-bodied character, cut through with mineral acidity. A great wine, with great potential.",100,359.0,Bordeaux-style Red Blend,France,best reviews,country
211,"A perfect wine from a classic vintage, the 2007 Masseto (100% Merlot from a 17-acre vineyard of the same name) opens with an unabashedly opulent bouquet of delicious blackberry, cherry, chocolate, vanilla, exotic spice and cinnamon. Masseto excels both in terms of quality of fruit and winemaking and delivers plush, velvety tannins and an extra long, supple finish. It will make a special and valuable collection to your cellar.",100,460.0,Merlot,Italy,best reviews,country
212,"This expresses the greatness of its vintage and vineyard, offering wave after wave of raspberry and cherry pie flavors, plus notes of red currant, sweet licorice, spicy Dr. Pepper and smoky sandalwood. There's also something exotically briary and wild that intrigues. Even more remarkable is the texture, an amalgam of acids and tannins that rivals any Pinot Noir ever produced in California. It should age for up to 20 years.",99,75.0,Pinot Noir,US,best reviews,country
213,"This is the latest release of Portugal's most iconic wine. It's made only in selected years (the last vintage was 2000) from Ferreira's Quinta da Leda in the Douro Superior. This new vintage is superb. It's a richly tarry wine laden with dark plum fruits and tannins that are just beginning to mature. It's a ripe and luscious, demanding attention, yet will still age for many years. Drink now, or hold until 2020.",99,426.0,Portuguese Red,Portugal,best reviews,country
214,"One of Italy's most iconic bottlings, the 2012 Sassicaia is drop-dead gorgeous. A blend of 85% Cabernet Sauvignon and 15% Cabernet Franc, it boasts sensations of blue flowers, cedar, juicy red currants, ripe raspberries, white pepper and a balsamic note. Structured, radiant and loaded with finesse, it delivers everything you'd expect from a world-class wine and more. Drink 2018–2032.",99,235.0,Red Blend,Italy,best reviews,country
215,"This is an elegant Nebbiolo-based wine and arguably the most feminine of Gaja's newest releases. There's extreme balance and sophistication evident in the focused aromas of wild berry, white licorice, pressed violets and polished stone. The mouthfeel is tight, firm and those tannins need at least 10 more years to soften in your cellar. Beautiful.",99,440.0,Nebbiolo,Italy,best reviews,country
216,"Always a standout among Gaja's five single-vineyard wines, Sorì San Lorenzo benefits from an excellent vintage to produce what will surely become a must-have bottle for collectors of Italian wine. There's enormous beauty and elegance here, backed by power and intensity with ripe fruit, spice, toasted nut and cola. It also shows impressive linearity and focus. Hold for 10 years or more.",99,440.0,Nebbiolo,Italy,best reviews,country
217,"With layers upon layers of spicy saffron, peach, honey and caramel to be enjoyed on the nose alone, this heady botrytized Riesling is pure hedonism. The sweet-tart palate is deft and spry yet deeply lusciously penetrating in flavor. Spine-tingling acidity darts through a honeyed, waxy slick that extends the finish endlessly. It's already a heart-stopping wine but will continue to improve for decades to come.",98,775.0,Riesling,Germany,best reviews,country
218,"Solid as a battleship, with lemony oak, marzipan and layer upon layer of black fruit aromas. Almost syrupy in its richness but not fully; it's chewy and creamy, with vital acids. The flavors are mega ripe and rich, emphasizing blackberry, black cherry preserves, fudge and fig paste. Yet at the same time it's an ethereal wine; the epitome of modern Rioja. Drink now through 2015.",97,250.0,Tempranillo,Spain,best reviews,country
219,"So incredibly thick and sweet it's almost chewy in texture, with aromas and flavors that feature a fascinating interplay of fresh and dried apricots, peach and citrus, kept lively by healthy acidity. The finish lasts for minutes; the wine should age well for decades.",97,486.0,Riesling,Germany,best reviews,country
220,"The smoky, minerally aspects of the site show through even a thick veil of botrytis. This is intensely honeyed, filled with dried apricot and candied pineapple flavors, yet not without nuance. Incredibly sweet, but as balanced as a wine this unctuous can be, with a long, mouthwatering finish.",97,,Riesling,Germany,best reviews,country
221,"Dusty, saffron-spiced earthiness is juxtaposed against intense mango and tangerine fruitiness in this deeply complex wine. It's unctuously sweet, but balanced by a piercing streak of acidity that penetrates through the midpalate. Spry and silken, it finishes on a long lingering whisper of honey and peach.",97,775.0,Riesling,Germany,best reviews,country
222,"This Ferreirinha Douro Superior wine is made in exceptional years. The 2007 is the 16th vintage since 1960 (the previous release was 2003). It is an immense wine in its grandeur while being sophisticated and structured. There are complex flavors from the long wood aging. The dark, dense black fruits are impressive while perfectly meshed into the concentrated tannins and black currant acidity. This wine, even at nine years, is young, and should not be drunk before 2020 (or decanted if you can't wait).",97,250.0,Portuguese Red,Portugal,best reviews,country
223,"Exceeds even this producer's stunning beerenauslese, featuring an even more intoxicating perfume of honey, dried apricots and candied pineapple, with slightly more acidity to provide balance to the extra level of sweetness, so much so that this wine comes across as refreshing on the finish, despite the incredibly high levels of sugar. Drink now–2050, possibly longer.",97,245.0,Riesling,Germany,best reviews,country
224,"This wine is dominated by Touriga Nacional, which offers a backbone of dark tannins that gives it a firm structure and will allow it to age for many years. Produced in open stone lagares, it has richness and impressive opulence in black fruit tones that are cut by juicy acidity. Drink from 2022.",97,100.0,Portuguese Red,Portugal,best reviews,country
225,"The estate wine from Mouchão is always a great wine. This latest release, almost black in color and five-years-old, is hugely rich, powered by black fruits and juicy acidity. Made principally from Alicante Bouschet, it shows the power and the aging potential of this variety in the Alentejo. This wine, foot-trodden in open stone lagars, is destined for much longer aging. Drink at the earliest in 2021.",97,75.0,Portuguese Red,Portugal,best reviews,country
226,"This is a wine with such a wonderful balance of fresh, lemon acidity and sweetness. Its honeyed texture is cut with a mineral bite that gives opulence and structure at the same time. The wine needs long aging so drink from 2017.",97,90.0,Chardonnay,Austria,best reviews,country
227,"If the color doesn't tell the full story, the nose will: it's impeccably perfumed, round and sweet, with amazing fruit aromas and a toasty background. The feel is as lush and rich as they come, and there's outstanding purity to the lusty black fruit flavors. A masher with elegance. Maybe the best Malbec Argentina has ever produced. Drink from 2011–15.",97,120.0,Malbec,Argentina,best reviews,country
228,"The heady, pure perfume of fig rind and foliage streams from the glass. A more tart and tropical note of passion fruit pitches in as well, along with green grapefruit spice. The aromatic spectrum is a sublimation of exotic fruit on nose and palate. The palate sustains this high-pitched balance by the purest lightening strike of zesty acidity. Even the tiniest drop of this amber liquid has the power to perfume the entire palate for minutes. The concentration is immense, the flavors are mind-boggling. This is high-octane stuff guaranteed to blow your mind. Drink now or cellar it through 2040 at least.",97,95.0,White Blend,Austria,best reviews,country
229,"This ethereal Tokaji Aszú is golden in color, with aromas of delicate acacia flower, honeysuckle, fresh peach and tinned apricot. The flavors come alive on the palate, showing luscious apricot, floral honeycomb and fresh pear juice. The acidity is perfectly balanced to prevent this delightful wine from being too cloying.",97,80.0,White Blend,Hungary,best reviews,country
230,"Beautifully lifted, almost sublimated apple and citrus fruit combine to make a perfumed, appetizing nose. That pure apple theme continues on the concentrated palate that sings with purity to leave a satisfying and honest impression of completeness. Pure and simply very delicious.",96,35.0,Riesling,Austria,best reviews,country
231,"Lusty aromas of black cherry and blackberry are powerful. Likewise, this Tempranillo from just outside the Ribera del Duero district tastes bullish, with blackberry, currant, mocha and rich oak flavors. Robust berry fruit along with spice and chocolate are the lead flavors on a strong, dense finish. This has the potential to age nicely for seven to 15 years. Drink through 2030.",96,100.0,Tempranillo,Spain,best reviews,country
232,"A beautifully perfumed wine is give shape by its great swathe of minerality, its intense acidity. The fruits range from citrus to white peach, a gallery of delicious flavor. Like any great Riesling, it needs years to mature.",96,103.0,Riesling,Austria,best reviews,country
233,"This is so young, the yeast of the ferment still swings on the nose. Underneath that, tightly curled freshness suggests both candied lemon slices and lemon sorbet—but this needs time to unfurl its glory. Despite its slenderness, this wine has muscle and tone, structure and poise. The long finish is lip-smacking and moreish. Drink 2018–2025.",96,54.0,Riesling,Austria,best reviews,country
234,"One look, one whiff, one taste and you're swooning. This mature, tawny, ready-to-drink gran reserva with aromas of lemon peel, cedar and dried cherry is the epitome of elegance. A juicy, supple palate is highly approachable, while flavors of vanilla, orange peel, saffron and dried plum don't waver on the finish. Drink through 2027.",96,50.0,Red Blend,Spain,best reviews,country
